TIME	l_foot_x	l_foot_y	l_foot_z
0.0	0.0	0.4	0
0.01	0.0	0.4	0
0.02	0.0	0.4	0
0.03	0.0	0.4	0
0.04	0.0	0.4	0
0.05	0.0	0.4	0
0.06	0.0	0.4	0
0.07	0.0	0.4	0
0.08	0.0	0.4	0
0.09	0.0	0.4	0
0.1	0.0	0.4	0
0.11	0.0	0.4	0
0.12	0.0	0.4	0
0.13	0.0	0.4	0
0.14	0.0	0.4	0
0.15	0.0	0.4	0
0.16	0.0	0.4	0
0.17	0.0	0.4	0
0.18	0.0	0.4	0
0.19	0.0	0.4	0
0.2	0.0	0.4	0
0.21	0.0	0.4	0
0.22	0.0	0.4	0
0.23	0.0	0.4	0
0.24	0.0	0.4	0
0.25	0.0	0.4	0
0.26	0.0	0.4	0
0.27	0.0	0.4	0
0.28	0.0	0.4	0
0.29	0.0	0.4	0
0.3	0.0	0.4	0
0.31	0.0	0.4	0
0.32	0.0	0.4	0
0.33	0.0	0.4	0
0.34	0.0	0.4	0
0.35000000000000003	0.0	0.4	0
0.36	0.0	0.4	0
0.37	0.0	0.4	0
0.38	0.0	0.4	0
0.39	0.0	0.4	0
0.4	0.0	0.4	0
0.41000000000000003	0.0	0.4	0
0.42	0.0	0.4	0
0.43	0.0	0.4	0
0.44	0.0	0.4	0
0.45	0.0	0.4	0
0.46	0.0	0.4	0
0.47000000000000003	0.0	0.4	0
0.48	0.0	0.4	0
0.49	0.0	0.4	0
0.5	0.0	0.4	0
0.51	0.0	0.4	0
0.52	0.0	0.4	0
0.53	0.0	0.4	0
0.54	0.0	0.4	0
0.55	0.0	0.4	0
0.56	0.0	0.4	0
0.5700000000000001	0.0	0.4	0
0.58	0.0	0.4	0
0.59	0.0	0.4	0
0.6	0.0	0.4	0
0.61	0.0	0.4	0
0.62	0.0	0.4	0
0.63	0.0	0.4	0
0.64	0.0	0.4	0
0.65	0.0	0.4	0
0.66	0.0	0.4	0
0.67	0.0	0.4	0
0.68	0.0	0.4	0
0.6900000000000001	0.0	0.4	0
0.7000000000000001	0.0	0.4	0
0.71	0.0	0.4	0
0.72	0.0	0.4	0
0.73	0.0	0.4	0
0.74	0.0	0.4	0
0.75	0.0	0.4	0
0.76	0.0	0.4	0
0.77	0.0	0.4	0
0.78	0.0	0.4	0
0.79	0.0	0.4	0
0.8	0.0	0.4	0
0.81	0.0	0.4	0
0.8200000000000001	0.0	0.4	0
0.8300000000000001	0.0	0.4	0
0.8400000000000001	0.0	0.4	0
0.8500000000000001	0.0	0.4	0
0.8600000000000001	0.0	0.4	0
0.8700000000000001	0.0	0.4	0
0.88	0.0	0.4	0
0.89	0.0	0.4	0
0.9	0.0	0.4	0
0.91	0.0	0.4	0
0.92	0.0	0.4	0
0.93	0.0	0.4	0
0.9400000000000001	0.0	0.4	0
0.9500000000000001	0.0	0.4	0
0.9600000000000001	0.0	0.4	0
0.9700000000000001	0.0	0.4	0
0.98	0.0	0.4	0
0.99	0.0	0.4	0
1.0	0.0	0.4	0
1.01	0.0	0.4	0
1.02	0.0	0.4	0
1.03	0.0	0.4	0
1.04	0.0	0.4	0
1.05	0.0	0.4	0
1.06	0.0	0.4	0
1.07	0.0	0.4	0
1.08	0.0	0.4	0
1.09	0.0	0.4	0
1.1	0.0	0.4	0
1.11	0.0	0.4	0
1.12	0.0	0.4	0
1.1300000000000001	0.0	0.4	0
1.1400000000000001	0.0	0.4	0
1.1500000000000001	0.0	0.4	0
1.1600000000000001	0.0	0.4	0
1.17	0.0	0.4	0
1.1800000000000002	0.0	0.4	0
1.19	0.0	0.4	0
1.2000000000000002	0.0	0.4	0
1.21	0.0	0.4	0
1.22	0.0	0.4	0
1.23	0.0	0.4	0
1.24	0.0	0.4	0
1.25	0.0	0.4	0
1.26	0.0	0.4	0
1.27	0.0	0.4	0
1.28	0.0	0.4	0
1.29	0.0	0.4	0
1.3	0.0	0.4	0
1.31	0.0	0.4	0
1.32	0.0	0.4	0
1.33	0.0	0.4	0
1.34	0.0	0.4	0
1.35	0.0	0.4	0
1.36	0.0	0.4	0
1.37	0.0	0.4	0
1.38	0.0	0.4	0
1.3900000000000001	0.0	0.4	0
1.4	0.0	0.4	0
1.4100000000000001	0.0	0.4	0
1.42	0.0	0.4	0
1.4300000000000002	0.0	0.4	0
1.44	0.0	0.4	0
1.4500000000000002	0.0	0.4	0
1.46	0.0	0.4	0
1.4700000000000002	0.0	0.4	0
1.48	0.0	0.4	0
1.4900000000000002	0.0	0.4	0
1.5	0.0	0.4	0
1.51	0.0	0.4	0
1.52	0.0	0.4	0
1.53	0.0	0.4	0
1.54	0.0	0.4	0
1.55	0.0	0.4	0
1.56	0.0	0.4	0
1.57	0.0	0.4	0
1.58	0.0	0.4	0
1.59	0.0	0.4	0
1.6	0.0	0.4	0.0
1.61	0.0	0.40007709637592775	7.70666566718009e-05
1.62	0.0	0.4003082666266872	0.00030779148512155856
1.6300000000000001	0.0	0.4006931543045074	0.0006907519900580862
1.6400000000000001	0.0	0.40123116594048625	0.0012235870926211618
1.6500000000000001	0.0	0.401921471959677	0.0019030116872178343
1.6600000000000001	0.0	0.40276300796023234	0.002724836895290808
1.6700000000000002	0.0	0.4037544763546353	0.0036839958911477014
1.6800000000000002	0.0	0.40489434837048466	0.004774575140626323
1.6900000000000002	0.0	0.40618086640775164	0.005989850859999238
1.7000000000000002	0.0	0.40761204674887136	0.007322330470336322
1.7100000000000002	0.0	0.4091856826174919	0.008763798791745422
